Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,759.6875,-0.12900306,405.9834609985352,405.9834609985352,1.0
24000,1.4266516,681.7058823529412,0.3160914,372.6496583090888,372.6496583090888,1.0
36000,1.432441,573.1904761904761,1.0925426,376.73512903849286,376.73512903849286,1.0
48000,1.4305762,1008.3076923076923,1.8495345,751.7303981781006,751.7303981781006,1.0
60000,1.4259201,1229.0,3.2050643,700.1494717068142,700.1494717068142,1.0
72000,1.4276017,910.9230769230769,5.125594,967.8032903671265,967.8032903671265,1.0
84000,1.4205934,1410.625,6.844268,1486.5913252830505,1486.5913252830505,1.0
96000,1.4174672,1187.4545454545455,8.211404,1279.485791015625,1279.485791015625,1.0
108000,1.4135232,707.1428571428571,11.70265,866.9369394938151,866.9369394938151,1.0
120000,1.4109454,992.0769230769231,13.251085,1260.847935603215,1260.847935603215,1.0
132000,1.4141678,858.2,17.008581,1210.58359375,1210.58359375,1.0
144000,1.4146549,1029.090909090909,22.054342,1631.4825761968439,1631.4825761968439,1.0
156000,1.4123793,616.6875,20.75255,788.4225296974182,788.4225296974182,1.0
168000,1.4180228,1382.3,23.386587,2306.25673828125,2306.25673828125,1.0
180000,1.4132288,1427.7142857142858,29.968752,2817.290011814662,2817.290011814662,1.0
192000,1.4038479,1010.0769230769231,29.48299,1587.8759466317983,1587.8759466317983,1.0
204000,1.4009532,1138.75,31.650686,1998.5672022501628,1998.5672022501628,1.0
216000,1.3999395,1014.6363636363636,35.073887,2141.24478114735,2141.24478114735,1.0
228000,1.3991421,1327.0,38.989685,2453.6922403971353,2453.6922403971353,1.0
240000,1.3981382,1159.0,44.18746,3221.4705755060368,3221.4705755060368,1.0
252000,1.3939458,2629.25,52.475792,6464.260833740234,6464.260833740234,1.0
264000,1.3903021,941.25,54.696186,2513.728392918905,2513.728392918905,1.0
276000,1.3910317,1541.4444444444443,63.697582,4348.020935058594,4348.020935058594,1.0
288000,1.390747,1460.5,58.17523,4108.428137779236,4108.428137779236,1.0
300000,1.3926309,998.3636363636364,65.90527,2929.8710445057263,2929.8710445057263,1.0
312000,1.3913786,2348.6666666666665,87.11422,7639.856884765625,7639.856884765625,1.0
324000,1.3881327,1366.875,78.14577,4415.139012654622,4415.139012654622,1.0
336000,1.3836168,1267.2,83.16226,3929.322659301758,3929.322659301758,1.0
348000,1.3880726,1026.0,87.38193,3586.755049272017,3586.755049272017,1.0
360000,1.3868747,1112.6363636363637,96.82765,3494.0564519708805,3494.0564519708805,1.0
372000,1.3815801,1651.4285714285713,100.71972,5609.687234061105,5609.687234061105,1.0
384000,1.3772179,1088.2,102.771385,4253.3129362626505,4253.3129362626505,1.0
396000,1.3766782,1509.75,95.60245,4991.109080791473,4991.109080791473,1.0
408000,1.3796285,1666.375,118.2716,6459.940229143415,6459.940229143415,1.0
420000,1.3792491,1219.6666666666667,115.92357,4835.48929977417,4835.48929977417,1.0
432000,1.3819836,1044.5833333333333,116.81116,3962.5557333628335,3962.5557333628335,1.0
444000,1.385797,1045.1818181818182,126.94382,4222.157668373801,4222.157668373801,1.0
456000,1.3867773,1366.0,138.62596,5618.885631561279,5618.885631561279,1.0
468000,1.3913646,1257.6,142.79388,5157.273736572266,5157.273736572266,1.0
480000,1.3931928,1364.2222222222222,135.56744,5214.560287475586,5214.560287475586,1.0
492000,1.3950117,1849.5714285714287,127.46764,7495.68270556132,7495.68270556132,1.0
504000,1.3951355,1366.888888888889,140.2505,5668.405680338542,5668.405680338542,1.0
516000,1.3961995,816.0714285714286,135.53593,3446.9013974326,3446.9013974326,1.0
528000,1.4013096,1105.2727272727273,121.93515,3331.35836575248,3331.35836575248,1.0
540000,1.4036635,1040.5,135.91231,4379.516293207805,4379.516293207805,1.0
552000,1.4045795,1268.4444444444443,140.00868,4793.660637749566,4793.660637749566,1.0
564000,1.4044542,1016.7,148.36858,4171.848351218484,4171.848351218484,1.0
576000,1.4040514,1255.3636363636363,155.7313,4780.632250976562,4780.632250976562,1.0
588000,1.4040836,991.3333333333334,152.95105,4860.13298034668,4860.13298034668,1.0
600000,1.4029626,996.5,143.06229,3701.501925541804,3701.501925541804,1.0
612000,1.4038341,1221.0,157.06961,4649.202657063802,4649.202657063802,1.0
624000,1.4050461,1099.7272727272727,155.31778,4833.837874672629,4833.837874672629,1.0
636000,1.4050833,1117.7272727272727,151.41011,5314.242348410867,5314.242348410867,1.0
648000,1.4045231,1084.5,142.97736,3653.56320476532,3653.56320476532,1.0
660000,1.4019649,1242.6,177.97192,5548.2744415283205,5548.2744415283205,1.0
672000,1.4010699,1327.625,157.20828,5216.568012237549,5216.568012237549,1.0
684000,1.4024671,1234.1818181818182,166.60493,4566.004380035401,4566.004380035401,1.0
696000,1.4032532,992.3636363636364,152.96637,4438.966057777405,4438.966057777405,1.0
708000,1.4052112,986.2307692307693,166.66261,4224.331194364107,4224.331194364107,1.0
720000,1.4073255,1165.6363636363637,182.46773,5328.290393066406,5328.290393066406,1.0
732000,1.4081842,933.7,149.49236,4153.47912198847,4153.47912198847,1.0
744000,1.4075311,1313.5454545454545,166.60114,5147.096074676514,5147.096074676514,1.0
756000,1.4075435,1140.4,171.47284,5498.516829403964,5498.516829403964,1.0
768000,1.4068245,1616.2857142857142,190.8343,7370.73406110491,7370.73406110491,1.0
780000,1.4079086,1223.7777777777778,155.8169,5035.5477947658965,5035.5477947658965,1.0
792000,1.4094943,1414.0,182.26477,5814.827229817708,5814.827229817708,1.0
804000,1.4101931,1132.9166666666667,169.1305,4659.012148770419,4659.012148770419,1.0
816000,1.4102943,1060.6363636363637,154.34435,4292.774026350541,4292.774026350541,1.0
828000,1.4101053,1355.4444444444443,157.64919,4992.850579155816,4992.850579155816,1.0
840000,1.4103352,959.7,191.33289,4547.763123252175,4547.763123252175,1.0
852000,1.4118423,None,20.465729,None,None,1.0
864000,1.4120554,None,8.89864,None,None,1.0
876000,1.4102539,None,7.679358,None,None,1.0
888000,1.4095663,8380.0,100.22143,6629.036787986755,6629.036787986755,1.0
900000,1.4086554,1052.909090909091,189.77997,5040.0135949452715,5040.0135949452715,1.0
912000,1.4092383,967.0769230769231,204.03284,4631.6849365234375,4631.6849365234375,1.0
924000,1.4079305,849.6923076923077,192.26778,3904.028573172433,3904.028573172433,1.0
936000,1.4070177,959.5384615384615,195.02237,4611.051577250163,4611.051577250163,1.0
948000,1.405941,None,42.476112,6187.079345703125,6187.079345703125,1.0
960000,1.4059011,3043.5,119.04662,5418.437211172922,5418.437211172922,1.0
